Time,Vab ,Vbc,Vca,F,P,Vavg,Vmax,Vmin
45:00.0,4187,4195,4198,60.03,1306,222,219,222
45:01.0,4187,4195,4198,60.02,1306,222,219,222
45:02.0,4187,4195,4198,60.02,1306,222,219,222
45:03.0,4187,4195,4198,60.02,1306,222,219,222
45:04.0,4187,4195,4198,60.03,1306,222,219,222
45:05.0,4187,4195,4198,60.02,1306,222,219,222
45:06.0,4187,4195,4198,60.02,1306,223,219,222
45:07.0,4187,4195,4198,60.02,1305,223,219,222
45:08.0,4187,4195,4198,60.02,1306,223,219,221
45:09.0,4187,4195,4198,60.02,1306,223,219,222
45:10.0,4187,4195,4198,60.02,1305,223,219,222
45:11.0,4187,4195,4198,60.02,1305,222,219,222
45:12.0,4187,4195,4198,60.02,1305,222,219,222
45:13.0,4187,4195,4198,60.02,1305,222,219,222
45:14.0,4186,4195,4197,60.02,1305,222,219,221
45:15.0,4187,4195,4198,60.02,1305,222,219,222
45:16.0,4187,4195,4198,60.01,1305,222,219,221
45:17.0,4187,4195,4198,60.02,1305,222,219,222
45:18.0,4187,4195,4198,60.02,1305,222,219,221
45:19.0,4186,4195,4198,60.01,1305,223,219,221
45:20.0,4186,4194,4197,60.01,1305,223,219,221
45:21.0,4186,4195,4198,60.01,1305,222,219,221
45:22.0,4186,4194,4197,60.01,1305,222,219,221
45:23.0,4186,4195,4198,60.01,1305,222,219,222
45:24.0,4186,4194,4197,60.01,1305,222,219,221
45:25.0,4186,4194,4197,60.01,1305,222,219,221
45:26.0,4186,4195,4198,60.01,1305,222,219,221
45:27.0,4186,4194,4197,60.02,1305,223,219,222
45:28.0,4186,4194,4197,60.01,1305,223,219,222
45:29.0,4186,4194,4197,60.02,1305,223,219,222
45:30.0,4186,4194,4197,60.01,1305,223,219,222
45:31.0,4186,4194,4197,60.01,1305,223,219,222
45:32.0,4186,4194,4197,60.02,1305,222,219,222
45:33.0,4186,4194,4197,60.01,1305,222,219,222
45:34.0,4186,4194,4197,60.01,1305,222,219,221
45:35.0,4186,4194,4197,60.01,1305,222,219,221
45:36.0,4186,4194,4197,60.01,1305,222,219,222
45:37.0,4186,4194,4197,60.01,1305,223,219,221
45:38.0,4186,4194,4197,60.01,1305,223,219,222
45:39.0,4186,4194,4197,60.01,1305,223,219,221
45:40.0,4186,4194,4197,60.01,1305,223,219,221
45:41.0,4186,4194,4197,60.02,1305,223,219,221
45:42.0,4186,4194,4197,60.01,1305,223,219,221
45:43.0,4186,4194,4197,60.01,1305,222,219,221
45:44.0,4186,4194,4197,60.01,1305,222,219,221
45:45.0,4186,4194,4197,60.01,1305,222,219,221
45:46.0,4186,4194,4197,60.01,1305,222,219,221
45:47.0,4186,4194,4197,60.01,1305,222,219,221
45:48.0,4186,4194,4197,60.01,1305,222,219,221
45:49.0,4186,4194,4197,60.01,1305,222,219,221
45:50.0,4186,4194,4197,60.01,1305,222,219,221
45:51.0,4186,4194,4197,60.01,1305,222,219,221
45:52.0,4186,4194,4197,60.01,1305,222,219,221
45:53.0,4186,4194,4197,60.01,1305,222,219,221
45:54.0,4186,4194,4197,60.01,1305,222,219,221
45:55.0,4186,4194,4197,60.01,1305,222,219,221
45:56.0,4186,4194,4197,60,1305,222,219,221
45:57.0,4186,4194,4197,60.01,1305,222,219,221
45:58.0,4186,4194,4197,60,1305,222,219,221
45:59.0,4186,4194,4197,60,1305,222,219,221
46:00.0,4186,4194,4197,60.01,1305,222,219,221
46:01.0,4186,4194,4197,60.01,1305,222,219,221
46:02.0,4185,4193,4196,60,1305,222,219,221
46:03.0,4186,4194,4197,60,1305,222,219,221
46:04.0,4186,4194,4197,60.01,1305,222,219,221
46:05.0,4185,4193,4196,60.01,1304,222,219,221
46:06.0,4185,4193,4196,60,1304,222,219,221
46:07.0,4186,4194,4197,60.01,1305,222,219,221
46:08.0,4185,4193,4196,60.01,1304,222,219,221
46:09.0,4185,4193,4196,60.01,1304,222,219,221
46:10.0,4185,4194,4197,60,1304,222,219,221
46:11.0,4185,4193,4196,60.01,1304,222,219,221
46:12.0,4185,4193,4196,60,1304,222,219,221
46:13.0,4185,4193,4196,60,1304,222,219,221
46:14.0,4185,4193,4196,60,1304,222,219,221
46:15.0,4185,4193,4196,60.01,1304,222,219,221
46:16.0,4185,4193,4196,60.01,1304,222,219,221
46:17.0,4185,4193,4196,60,1304,222,219,221
46:18.0,4185,4193,4196,60,1304,222,219,221
46:19.0,4185,4193,4196,60,1304,222,219,221
46:20.0,4185,4193,4196,60,1304,222,219,221
46:21.0,4185,4193,4196,60,1304,222,219,221
46:22.0,4185,4193,4196,60.01,1304,222,219,221
46:23.0,4185,4193,4196,60,1304,222,219,221
46:24.0,4185,4193,4196,60,1304,222,219,221
46:25.0,4185,4193,4196,60,1304,222,219,221
46:26.0,4185,4193,4196,60,1304,222,219,221
46:27.0,4185,4193,4196,60,1304,222,219,221
46:28.0,4185,4193,4196,60,1304,222,219,221
46:29.0,4185,4193,4196,60,1304,223,219,221
46:30.0,4185,4193,4196,59.99,1304,222,219,221
46:31.0,4185,4193,4196,60,1304,222,219,221
46:32.0,4185,4193,4196,60,1304,222,219,221
46:33.0,4185,4193,4196,60,1304,222,219,221
46:34.0,4185,4193,4196,60,1304,222,219,221
46:35.0,4185,4193,4196,60,1304,222,219,221
46:36.0,4185,4193,4196,59.99,1304,222,219,221
46:37.0,4185,4193,4196,60,1304,222,219,221
46:38.0,4185,4193,4196,59.99,1304,223,219,221
